
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.418 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Phlaocyon	25.056	17.021	
Phlaocyon_achoros	23.311	23.311	
Phlaocyon_annectens	23.921	21.023	
Phlaocyon_latidens	33.057	25.03	
Phlaocyon_leucosteus	22.393	16.09	
Phlaocyon_mariae	17.712	17.712	
Phlaocyon_marslandensis	19.891	17.646	
Phlaocyon_minor	29.121	18.234	
Phlaocyon_multicuspus	24.429	24.429	
Phlaocyon_taylori	26.37	21.319	
Phlaocyon_yatkolai	19.144	19.144	
Protemnocyon_inflatus	33.799	33.799	
Protepicyon_raki	15.533	13.698	
Protocyon	1.533	0.036	
Protocyon_orcesi	0.492	0.492	
Protocyon_tarijensis	2.022	2.022	
Protocyon_troglodytes	2.405	0.01	
Protomarctus_optatus	20.901	9.435	
Psalidocyon_marianae	20.339	14.071	
Pseudalopex_gymnocercus	2.53	0.007	extant
Rhizocyon_oregonensis	29.531	22.853	
Speothos	1.4	1.4	
Speothos_venaticus	0.006	0.006	
Sunkahetanka_geringensis	30.087	24.713	
Tephrocyon_rurestris	15.319	10.328	
Theriodictis	1.341	0.063	
Theriodictis_floridanus	4.817	4.136	
Tomarctus	15.048	11.241	
Tomarctus_brevirostris	19.805	10.054	
Tomarctus_hippophaga	20.387	5.921	
Urocyon	10.62	0.051	
Urocyon_cinereoargenteus	2.389	0.002	
Urocyon_citrinus	4.583	4.583	
Urocyon_galushai	4.669	2.524	
Urocyon_minicephalus	1.547	1.157	
Urocyon_progressus	3.678	3.678	
Urocyon_webbi	7.577	7.577	
Vulpes	9.162	0.009	
Vulpes_cascadensis	0.096	0.096	
Vulpes_chama	2.514	0.002	
Vulpes_kernensis	11.748	11.748	
Vulpes_mathisoni	3.657	3.657	
Vulpes_stenognathus	15.16	1.756	
Vulpes_velox	2.197	0.031	
Vulpes_vulpes	3.036	0.004	
Vulpes_vulpes_macroura	0.04	0.04	
Vulpini	0.035	0.035	
Xenocyon	2.021	0.443	
Xenocyon_lycaonoides	2.588	0.228	
Xenocyon_texanus	1.379	1.379	
